red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
trooper.py,domination/agent.py,1.0,1000,0,505,61,62
trooper.py,domination/agent.py,1.0,1000,0,293,39,24
trooper.py,domination/agent.py,1.0,1000,0,420,55,44
trooper.py,domination/agent.py,1.0,1000,0,276,39,20
trooper.py,domination/agent.py,1.0,1000,0,509,64,62
trooper.py,domination/agent.py,1.0,1000,0,445,59,42
trooper.py,domination/agent.py,1.0,1000,0,478,60,53
trooper.py,domination/agent.py,1.0,1000,0,391,44,49
trooper.py,domination/agent.py,1.0,1000,0,388,47,41
trooper.py,domination/agent.py,1.0,1000,0,247,37,18
domination/agent.py,trooper.py,0.126,126,874,600,70,78
domination/agent.py,trooper.py,0.0,0,1000,564,63,74
domination/agent.py,trooper.py,0.0,0,1000,249,22,34
domination/agent.py,trooper.py,0.0,0,1000,538,61,69
domination/agent.py,trooper.py,0.0,0,1000,479,63,58
domination/agent.py,trooper.py,0.0,0,1000,442,53,59
domination/agent.py,trooper.py,0.0,0,1000,519,67,59
domination/agent.py,trooper.py,0.118,118,882,600,77,77
domination/agent.py,trooper.py,0.0,0,1000,253,22,36
domination/agent.py,trooper.py,0.0,0,1000,403,41,56
